[np.float64(1.77383211376231e-101), np.float64(0.2805686429410152), np.float64(-0.03243256561820677), np.float64(0.4724242761718682), np.float64(2.887110553791017), np.float64(-0.8836858604580006), np.float64(0.0011695846924702363), np.float64(9.7746197805799)]
[np.float64(7.622962759210221e-16), np.float64(0.6348089478904942), np.float64(-0.14426104593425204), np.float64(-3.1415166576222116), np.float64(1196.5073524628956), np.float64(-0.7017718981444228), np.float64(1.2615373558221064), np.float64(9.7857173744755)]
[np.float64(2.244422822053609e-144), np.float64(0.10418728600575619), np.float64(-0.03717541678640471), np.float64(-1.076684101925188), np.float64(1133.4761531234917), np.float64(-1.4225212828827627), np.float64(1.2675798701410441), np.float64(9.8348157141436)]
[np.float64(1.222575031466043e-83), np.float64(0.7079787990149211), np.float64(-0.023312044862632362), np.float64(-1.72904818261464), np.float64(1415.6639116357217), np.float64(-0.6348779016204353), np.float64(1.26731799883746), np.float64(9.8758849047854)]
[np.float64(1.4514862479438758e-104), np.float64(0.5392738507132064), np.float64(-0.06482962883741206), np.float64(0.14276928953203738), np.float64(1603.2666382761672), np.float64(-0.6318780503093013), np.float64(1.1416762379615346), np.float64(9.87034)]
[np.float64(1.0740340011599467e-231), np.float64(0.5574117876258713), np.float64(-0.03242613530546181), np.float64(0.31983675174548454), np.float64(1793.5476795009736), np.float64(-0.6047136531480874), np.float64(1.2695159736781236), np.float64(9.8749896)]
[np.float64(1.0740340011599467e-231), np.float64(0.7349477412592027), np.float64(-0.02825965261809342), np.float64(0.33299054044563947), np.float64(1895.255297747765), np.float64(-0.6786560361723083), np.float64(1.264286612822888), np.float64(9.8756206)]
[np.float64(2.6752879910742468e-09), np.float64(0.594596690880717), np.float64(-0.023530331085411714), np.float64(0.4210426871908983), np.float64(2001.5490596699337), np.float64(-0.68939471066643), np.float64(1.2695159736781236), np.float64(9.8758506)]
[np.float64(1.5521491396424238e-14), np.float64(0.5579919343563734), np.float64(-0.030784368400372263), np.float64(-1.0072475656155535), np.float64(2112.590424719629), np.float64(-0.7082381511126038), np.float64(1.2677468729956263), np.float64(9.8758849047854)]
